"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration";"uCode";"uName";"NI";"Rank"
"2019_101";"101";2019;"incubation1";"f";50161;6225;5;1245;16;6273,4375;"2019_incubation1_101_f";"2019_incubation1_101_f";43,18;26
"2019_101";"101";2019;"incubation1";"m";48567;12575;12;1047,91666666667;22;3356,81818181818;"2019_incubation1_101_m";"2019_incubation1_101_m";48,94;18
"2019_101";"101";2019;"incubation2";"f";50161;25;1;25;11;9931,81818181818;"2019_incubation2_101_f";"2019_incubation2_101_f";1,08;287
"2019_101";"101";2019;"incubation2";"m";48567;175;1;175;25;2792;"2019_incubation2_101_m";"2019_incubation2_101_m";7,09;175
"2019_101";"101";2019;"incubation3";"f";50161;50;1;50;4;31562,5;"2019_incubation3_101_f";"2019_incubation3_101_f";2,21;265
"2019_101";"101";2019;"incubation3";"m";48567;125;1;125;2;32000;"2019_incubation3_101_m";"2019_incubation3_101_m";5,27;211
"2019_113_10";"113_10";2019;"incubation1";"f";50495;1825;1;1825;8;17068,75;"2019_incubation1_113_10_f";"2019_incubation1_113_10_f";35,11;37
"2019_113_10";"113_10";2019;"incubation1";"m";50135;400;4;100;8;8018,75;"2019_incubation1_113_10_m";"2019_incubation1_113_10_m";8,47;154
"2019_113_10";"113_10";2019;"incubation2";"f";50495;0;0;NA;1;83625;"2019_incubation2_113_10_f";"2019_incubation2_113_10_f";0;327
"2019_113_10";"113_10";2019;"incubation2";"m";50135;75;1;75;2;50311,5;"2019_incubation2_113_10_m";"2019_incubation2_113_10_m";3,28;245
"2019_113_10";"113_10";2019;"incubation3";"f";50495;0;0;NA;1;89475;"2019_incubation3_113_10_f";"2019_incubation3_113_10_f";0;327
"2019_113_10";"113_10";2019;"incubation3";"m";50135;225;2;112,5;4;25762,5;"2019_incubation3_113_10_m";"2019_incubation3_113_10_m";6,52;187
"2019_14_6K";"14_6K";2019;"incubation1";"f";50154;225;4;56,25;8;11584,375;"2019_incubation1_14_6K_f";"2019_incubation1_14_6K_f";5,18;214
"2019_14_6K";"14_6K";2019;"incubation1";"m";48518;300;5;60;10;10047,5;"2019_incubation1_14_6K_m";"2019_incubation1_14_6K_m";6,29;190
"2019_14_6K";"14_6K";2019;"incubation2";"f";50154;25;1;25;4;19231,25;"2019_incubation2_14_6K_f";"2019_incubation2_14_6K_f";1,08;287
"2019_14_6K";"14_6K";2019;"incubation2";"m";48518;275;3;91,6666666666667;4;26543,75;"2019_incubation2_14_6K_m";"2019_incubation2_14_6K_m";6,73;183
"2019_14_6K";"14_6K";2019;"incubation3";"f";50154;2000;2;1000;4;23362,5;"2019_incubation3_14_6K_f";"2019_incubation3_14_6K_f";30,78;47
"2019_14_6K";"14_6K";2019;"incubation3";"m";48518;400;4;100;4;20837,5;"2019_incubation3_14_6K_m";"2019_incubation3_14_6K_m";8,47;154
"2019_D15_5";"D15_5";2019;"incubation1";"f";26555;3550;22;161,363636363636;37;2723,64864864865;"2019_incubation1_D15_5_f";"2019_incubation1_D15_5_f";25,73;61
"2019_D15_5";"D15_5";2019;"incubation1";"m";55401;350;5;70;25;2919;"2019_incubation1_D15_5_m";"2019_incubation1_D15_5_m";7,17;174
