"";"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank"
"1";2019;"incubation1";"101";"complete";18850;15;1256,66666666667;"101_incubation1_19";47,33;17
"2";2019;"incubation1";"113_10";"complete";2225;5;445;"113_10_incubation1_19";20,48;53
"3";2019;"incubation1";"14_6K";"failed chick";525;9;58,3333333333333;"14_6K_incubation1_19";5,63;126
"4";2019;"incubation1";"D15_5";"complete";3900;27;144,444444444444;"D15_5_incubation1_19";19,43;57
"5";2019;"incubation1";"D15_6";"complete";275;2;137,5;"D15_6_incubation1_19";5,98;123
"6";2019;"incubation1";"IC";"complete";275;4;68,75;"IC_incubation1_19";4,25;145
"7";2019;"incubation1";"K17_13";"complete";75;2;37,5;"K17_13_incubation1_19";1,81;179
"8";2019;"incubation1";"K17_15";"complete";1025;10;102,5;"K17_15_incubation1_19";9,52;98
"9";2019;"incubation1";"W39B";"complete";1600;13;123,076923076923;"W39B_incubation1_19";12,48;80
"10";2019;"incubation1";"W40";"complete";1600;15;106,666666666667;"W40_incubation1_19";12,08;85
"11";2019;"incubation1";"W41J";"complete";9450;40;236,25;"W41J_incubation1_19";29,3;33
"12";2019;"incubation1";"W49";"complete";275;1;275;"W49_incubation1_19";8,78;101
"13";2019;"incubation2";"101";"complete";200;2;100;"101_incubation2_19";4,52;139
"14";2019;"incubation2";"113_10";"complete";150;2;75;"113_10_incubation2_19";3,48;152
"15";2019;"incubation2";"14_6K";"failed chick";300;4;75;"14_6K_incubation2_19";4,6;138
"16";2019;"incubation2";"D15_5";"complete";150;2;75;"D15_5_incubation2_19";3,48;152
"17";2019;"incubation2";"D15_6";"complete";2275;3;758,333333333333;"D15_6_incubation2_19";24,32;43
"18";2019;"incubation2";"IC";"complete";0;0;0;"IC_incubation2_19";0;208
"19";2019;"incubation2";"K17_13";"complete";0;0;0;"K17_13_incubation2_19";0;208
"20";2019;"incubation2";"K17_15";"complete";75;2;37,5;"K17_15_incubation2_19";1,81;179
