"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration"
"2019_101";"101";"2019";"incubation1";"f";"50161";6225;5;1245;16;6273,4375
"2019_101";"101";"2019";"incubation1";"m";"48567";12575;12;1047,91666666667;22;3356,81818181818
"2019_101";"101";"2019";"incubation2";"f";"50161";25;1;25;11;9931,81818181818
"2019_101";"101";"2019";"incubation2";"m";"48567";175;1;175;25;2792
"2019_101";"101";"2019";"incubation3";"f";"50161";50;1;50;4;31562,5
"2019_101";"101";"2019";"incubation3";"m";"48567";125;1;125;2;32000
"2019_113_10";"113_10";"2019";"incubation1";"f";"50495";1825;1;1825;8;17068,75
"2019_113_10";"113_10";"2019";"incubation1";"m";"50135";400;4;100;8;8018,75
"2019_113_10";"113_10";"2019";"incubation2";"f";"50495";0;0;NA;1;83625
"2019_113_10";"113_10";"2019";"incubation2";"m";"50135";75;1;75;2;50311,5
"2019_113_10";"113_10";"2019";"incubation3";"f";"50495";0;0;NA;1;89475
"2019_113_10";"113_10";"2019";"incubation3";"m";"50135";225;2;112,5;4;25762,5
"2019_14_6K";"14_6K";"2019";"incubation1";"f";"50154";225;4;56,25;8;11584,375
"2019_14_6K";"14_6K";"2019";"incubation1";"m";"48518";300;5;60;10;10047,5
"2019_14_6K";"14_6K";"2019";"incubation2";"f";"50154";25;1;25;4;19231,25
"2019_14_6K";"14_6K";"2019";"incubation2";"m";"48518";275;3;91,6666666666667;4;26543,75
"2019_14_6K";"14_6K";"2019";"incubation3";"f";"50154";2000;2;1000;4;23362,5
"2019_14_6K";"14_6K";"2019";"incubation3";"m";"48518";400;4;100;4;20837,5
"2019_D15_5";"D15_5";"2019";"incubation1";"f";"26555";3550;22;161,363636363636;37;2723,64864864865
"2019_D15_5";"D15_5";"2019";"incubation1";"m";"55401";350;5;70;25;2919
"2019_D15_5";"D15_5";"2019";"incubation2";"f";"26555";0;0;NA;6;15637,5
"2019_D15_5";"D15_5";"2019";"incubation2";"m";"55401";75;1;75;3;41458,3333333333
"2019_D15_5";"D15_5";"2019";"incubation3";"f";"26555";0;0;NA;1;82225
"2019_D15_5";"D15_5";"2019";"incubation3";"m";"55401";0;0;NA;2;46104,5
"2019_D15_6";"D15_6";"2019";"incubation1";"f";"43087";100;1;100;5;21405
"2019_D15_6";"D15_6";"2019";"incubation1";"m";"50209";175;1;175;8;9631,25
"2019_D15_6";"D15_6";"2019";"incubation2";"f";"43087";2275;3;758,333333333333;4;39131,5
"2019_D15_6";"D15_6";"2019";"incubation2";"m";"50209";0;0;NA;1;22200
"2019_D15_6";"D15_6";"2019";"incubation3";"f";"43087";25;1;25;2;42075
"2019_D15_6";"D15_6";"2019";"incubation3";"m";"50209";650;1;650;3;40966,6666666667
"2019_IC";"IC";"2019";"incubation1";"f";"50493";175;2;87,5;6;21375
"2019_IC";"IC";"2019";"incubation1";"m";"56605";100;2;50;18;5330,55555555556
"2019_IC";"IC";"2019";"incubation2";"f";"50493";0;0;NA;2;42625
"2019_IC";"IC";"2019";"incubation2";"m";"56605";0;0;NA;3;32321,6666666667
