"Season_Nest";"nest";"season";"ringno";"session";"sx";"NI";"mean_incubation_duration";"Days_to_Hatch";"Incubation_Duration";"Partner_ringno";"Partner_NI";"Partner_Incubation";"t";"NI_plus"
"2019_101";"101";"2019";"50161";"incubation1";"f";43,18;"6273,4375";25;30;"48567";"48,94";"3356,81818181818";0,193548387096774;43,19
"2019_101";"101";"2019";"48567";"incubation1";"m";48,94;"3356,81818181818";25;30;"50161";"43,18";"6273,4375";0,193548387096774;48,95
"2019_101";"101";"2019";"50161";"incubation2";"f";1,08;"9931,81818181818";15;30;"48567";"7,09";"2792";0,516129032258065;1,09
"2019_101";"101";"2019";"48567";"incubation2";"m";7,09;"2792";15;30;"50161";"1,08";"9931,81818181818";0,516129032258065;7,1
"2019_101";"101";"2019";"50161";"incubation3";"f";2,21;"31562,5";5;30;"48567";"5,27";"32000";0,838709677419355;2,22
"2019_101";"101";"2019";"48567";"incubation3";"m";5,27;"32000";5;30;"50161";"2,21";"31562,5";0,838709677419355;5,28
"2019_113_10";"113_10";"2019";"50495";"incubation1";"f";35,11;"17068,75";23;27;"50135";"8,47";"8018,75";0,258064516129032;35,12
"2019_113_10";"113_10";"2019";"50135";"incubation1";"m";8,47;"8018,75";23;27;"50495";"35,11";"17068,75";0,258064516129032;8,48
"2019_113_10";"113_10";"2019";"50495";"incubation2";"f";0;"83625";11;27;"50135";"3,28";"50311,5";0,645161290322581;0,01
"2019_113_10";"113_10";"2019";"50135";"incubation2";"m";3,28;"50311,5";11;27;"50495";"0";"83625";0,645161290322581;3,29
"2019_113_10";"113_10";"2019";"50495";"incubation3";"f";0;"89475";2;27;"50135";"6,52";"25762,5";0,935483870967742;0,01
"2019_113_10";"113_10";"2019";"50135";"incubation3";"m";6,52;"25762,5";2;27;"50495";"0";"89475";0,935483870967742;6,53
"2019_14_6K";"14_6K";"2019";"50154";"incubation1";"f";5,18;"11584,375";24;29;"48518";"6,29";"10047,5";0,225806451612903;5,19
"2019_14_6K";"14_6K";"2019";"48518";"incubation1";"m";6,29;"10047,5";24;29;"50154";"5,18";"11584,375";0,225806451612903;6,3
"2019_14_6K";"14_6K";"2019";"50154";"incubation2";"f";1,08;"19231,25";14;29;"48518";"6,73";"26543,75";0,548387096774194;1,09
"2019_14_6K";"14_6K";"2019";"48518";"incubation2";"m";6,73;"26543,75";14;29;"50154";"1,08";"19231,25";0,548387096774194;6,74
"2019_14_6K";"14_6K";"2019";"50154";"incubation3";"f";30,78;"23362,5";2;29;"48518";"8,47";"20837,5";0,935483870967742;30,79
"2019_14_6K";"14_6K";"2019";"48518";"incubation3";"m";8,47;"20837,5";2;29;"50154";"30,78";"23362,5";0,935483870967742;8,48
"2019_D15_5";"D15_5";"2019";"26555";"incubation1";"f";25,73;"2723,64864864865";24;29;"55401";"7,17";"2919";0,225806451612903;25,74
"2019_D15_5";"D15_5";"2019";"55401";"incubation1";"m";7,17;"2919";24;29;"26555";"25,73";"2723,64864864865";0,225806451612903;7,18
"2019_D15_5";"D15_5";"2019";"26555";"incubation2";"f";0;"15637,5";14;29;"55401";"3,28";"41458,3333333333";0,548387096774194;0,01
"2019_D15_5";"D15_5";"2019";"55401";"incubation2";"m";3,28;"41458,3333333333";14;29;"26555";"0";"15637,5";0,548387096774194;3,29
"2019_D15_5";"D15_5";"2019";"26555";"incubation3";"f";0;"82225";4;29;"55401";"0";"46104,5";0,870967741935484;0,01
"2019_D15_5";"D15_5";"2019";"55401";"incubation3";"m";0;"46104,5";4;29;"26555";"0";"82225";0,870967741935484;0,01
"2019_D15_6";"D15_6";"2019";"43087";"incubation1";"f";4,3;"21405";24;29;"50209";"7,09";"9631,25";0,225806451612903;4,31
"2019_D15_6";"D15_6";"2019";"50209";"incubation1";"m";7,09;"9631,25";24;29;"43087";"4,3";"21405";0,225806451612903;7,1
"2019_D15_6";"D15_6";"2019";"43087";"incubation2";"f";29,8;"39131,5";11;29;"50209";"0";"22200";0,645161290322581;29,81
"2019_D15_6";"D15_6";"2019";"50209";"incubation2";"m";0;"22200";11;29;"43087";"29,8";"39131,5";0,645161290322581;0,01
"2019_D15_6";"D15_6";"2019";"43087";"incubation3";"f";1,08;"42075";2;29;"50209";"19,38";"40966,6666666667";0,935483870967742;1,09
"2019_D15_6";"D15_6";"2019";"50209";"incubation3";"m";19,38;"40966,6666666667";2;29;"43087";"1,08";"42075";0,935483870967742;19,39
"2019_IC";"IC";"2019";"50493";"incubation1";"f";5,21;"21375";23;29;"56605";"3,09";"5330,55555555556";0,258064516129032;5,22
"2019_IC";"IC";"2019";"56605";"incubation1";"m";3,09;"5330,55555555556";23;29;"50493";"5,21";"21375";0,258064516129032;3,1
"2019_IC";"IC";"2019";"50493";"incubation2";"f";0;"42625";15;29;"56605";"0";"32321,6666666667";0,516129032258065;0,01
"2019_IC";"IC";"2019";"56605";"incubation2";"m";0;"32321,6666666667";15;29;"50493";"0";"42625";0,516129032258065;0,01
"2019_IC";"IC";"2019";"50493";"incubation3";"f";0;"59575";4;29;"56605";"3,28";"41480,6666666667";0,870967741935484;0,01
"2019_IC";"IC";"2019";"56605";"incubation3";"m";3,28;"41480,6666666667";4;29;"50493";"0";"59575";0,870967741935484;3,29
"2019_K17_13";"K17_13";"2019";"55406";"incubation1";"f";1,08;"11265";24;29;"50496";"2,21";"8891,66666666667";0,225806451612903;1,09
"2019_K17_13";"K17_13";"2019";"50496";"incubation1";"m";2,21;"8891,66666666667";24;29;"55406";"1,08";"11265";0,225806451612903;2,22
"2019_K17_13";"K17_13";"2019";"55406";"incubation2";"f";0;"43591,6666666667";14;29;"50496";"0";"41450";0,548387096774194;0,01
"2019_K17_13";"K17_13";"2019";"50496";"incubation2";"m";0;"41450";14;29;"55406";"0";"43591,6666666667";0,548387096774194;0,01
"2019_K17_13";"K17_13";"2019";"55406";"incubation3";"f";0;"74150";5;29;"50496";"2,21";"42675";0,838709677419355;0,01
"2019_K17_13";"K17_13";"2019";"50496";"incubation3";"m";2,21;"42675";5;29;"55406";"0";"74150";0,838709677419355;2,22
"2019_K17_15";"K17_15";"2019";"50153";"incubation1";"f";6,73;"6916,16666666667";24;29;"50498";"12,06";"8145,45454545455";0,225806451612903;6,74
"2019_K17_15";"K17_15";"2019";"50498";"incubation1";"m";12,06;"8145,45454545455";24;29;"50153";"6,73";"6916,16666666667";0,225806451612903;12,07
"2019_K17_15";"K17_15";"2019";"50153";"incubation2";"f";0;"34662,5";14;29;"50498";"2,33";"27700";0,548387096774194;0,01
"2019_K17_15";"K17_15";"2019";"50498";"incubation2";"m";2,33;"27700";14;29;"50153";"0";"34662,5";0,548387096774194;2,34
"2019_K17_15";"K17_15";"2019";"50153";"incubation3";"f";0;"11205";5;29;"50498";"9,57";"17480";0,838709677419355;0,01
"2019_K17_15";"K17_15";"2019";"50498";"incubation3";"m";9,57;"17480";5;29;"50153";"0";"11205";0,838709677419355;9,58
"2019_W39";"W39";"2019";"50152";"incubation2";"f";0;"37400";12;27;"46028";"1,08";"20425";0,612903225806452;0,01
"2019_W39";"W39";"2019";"46028";"incubation2";"m";1,08;"20425";12;27;"50152";"0";"37400";0,612903225806452;1,09
"2019_W39B";"W39B";"2019";"50167";"incubation1";"f";3,02;"6825";24;28;"50327";"18,11";"3109,82142857143";0,225806451612903;3,03
"2019_W39B";"W39B";"2019";"50327";"incubation1";"m";18,11;"3109,82142857143";24;28;"50167";"3,02";"6825";0,225806451612903;18,12
"2019_W39B";"W39B";"2019";"50167";"incubation2";"f";1,08;"34333,3333333333";13;28;"50327";"12,47";"42337,5";0,580645161290323;1,09
"2019_W39B";"W39B";"2019";"50327";"incubation2";"m";12,47;"42337,5";13;28;"50167";"1,08";"34333,3333333333";0,580645161290323;12,48
"2019_W39B";"W39B";"2019";"50167";"incubation3";"f";5,65;"40966,6666666667";3;28;"50327";"8,34";"17137,5";0,903225806451613;5,66
"2019_W39B";"W39B";"2019";"50327";"incubation3";"m";8,34;"17137,5";3;28;"50167";"5,65";"40966,6666666667";0,903225806451613;8,35
"2019_W40";"W40";"2019";"43817";"incubation1";"f";7,25;"6518,75";24;29;"41260";"15,94";"4050";0,225806451612903;7,26
"2019_W40";"W40";"2019";"41260";"incubation1";"m";15,94;"4050";24;29;"43817";"7,25";"6518,75";0,225806451612903;15,95
"2019_W40";"W40";"2019";"43817";"incubation2";"f";0;"9675";14;29;"41260";"0";"39306,25";0,548387096774194;0,01
"2019_W40";"W40";"2019";"41260";"incubation2";"m";0;"39306,25";14;29;"43817";"0";"9675";0,548387096774194;0,01
"2019_W40";"W40";"2019";"43817";"incubation3";"f";3,28;"16512,5";2;29;"41260";"12,03";"7895";0,935483870967742;3,29
"2019_W40";"W40";"2019";"41260";"incubation3";"m";12,03;"7895";2;29;"43817";"3,28";"16512,5";0,935483870967742;12,04
"2019_W41J";"W41J";"2019";"44955";"incubation1";"f";25,31;"3458,82352941176";23;28;"26975";"33,23";"2374,52830188679";0,258064516129032;25,32
"2019_W41J";"W41J";"2019";"26975";"incubation1";"m";33,23;"2374,52830188679";23;28;"44955";"25,31";"3458,82352941176";0,258064516129032;33,24
"2019_W41J";"W41J";"2019";"44955";"incubation2";"f";11,53;"2489,77272727273";13;28;"26975";"22,17";"2219,20289855072";0,580645161290323;11,54
"2019_W41J";"W41J";"2019";"26975";"incubation2";"m";22,17;"2219,20289855072";13;28;"44955";"11,53";"2489,77272727273";0,580645161290323;22,18
"2019_W41J";"W41J";"2019";"44955";"incubation3";"f";0;"77125";2;28;"26975";"23,31";"5903,57142857143";0,935483870967742;0,01
"2019_W41J";"W41J";"2019";"26975";"incubation3";"m";23,31;"5903,57142857143";2;28;"44955";"0";"77125";0,935483870967742;23,32
"2019_W49";"W49";"2019";"50492";"incubation1";"f";0;"55875";23;27;"43858";"10,33";"36775";0,258064516129032;0,01
