"Season";"session";"Nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank";"Lay_day";"Hatch_day";"mean_date";"Julian_Date_point";"Incubation_Duration";"Days_to_Hatch"
"2019";"incubation1";"101";"complete";18850;15;1256,66666666667;"101_incubation1_19";47,33;17;166;196;2019-06-20 06:16:20;171;30;25
"2019";"incubation1";"113_10";"complete";2225;5;445;"113_10_incubation1_19";20,48;53;172;199;2019-06-25 23:13:43;176;27;23
"2019";"incubation1";"14_6K";"failed chick";525;9;58,3333333333333;"14_6K_incubation1_19";5,63;126;169;198;2019-06-23 14:04:45;174;29;24
"2019";"incubation1";"D15_5";"complete";3900;27;144,444444444444;"D15_5_incubation1_19";19,43;57;171;200;2019-06-25 14:50:52.5;176;29;24
"2019";"incubation1";"D15_6";"complete";275;2;137,5;"D15_6_incubation1_19";5,98;123;169;198;2019-06-23 14:04:00.5;174;29;24
"2019";"incubation1";"IC";"complete";275;4;68,75;"IC_incubation1_19";4,25;145;165;194;2019-06-20 05:34:35;171;29;23
"2019";"incubation1";"K17_13";"complete";75;2;37,5;"K17_13_incubation1_19";1,81;179;170;199;2019-06-24 19:06:51.5;175;29;24
"2019";"incubation1";"K17_15";"complete";1025;10;102,5;"K17_15_incubation1_19";9,52;98;168;197;2019-06-22 03:21:25.5;173;29;24
"2019";"incubation1";"W39B";"complete";1600;13;123,076923076923;"W39B_incubation1_19";12,48;80;172;200;2019-06-25 23:14:02;176;28;24
"2019";"incubation1";"W40";"complete";1600;15;106,666666666667;"W40_incubation1_19";12,08;85;169;198;2019-06-23 14:01:32;174;29;24
"2019";"incubation1";"W41J";"complete";9450;40;236,25;"W41J_incubation1_19";29,3;33;170;198;2019-06-24 19:19:01.5;175;28;23
"2019";"incubation1";"W49";"complete";275;1;275;"W49_incubation1_19";8,78;101;172;199;2019-06-25 23:10:07;176;27;23
"2019";"incubation2";"101";"complete";200;2;100;"101_incubation2_19";4,52;139;166;196;2019-06-30 00:33:11;181;30;15
"2019";"incubation2";"113_10";"complete";150;2;75;"113_10_incubation2_19";3,48;152;172;199;2019-07-07 02:41:12;188;27;11
"2019";"incubation2";"14_6K";"failed chick";300;4;75;"14_6K_incubation2_19";4,6;138;169;198;2019-07-03 04:06:40;184;29;14
"2019";"incubation2";"D15_5";"complete";150;2;75;"D15_5_incubation2_19";3,48;152;171;200;2019-07-05 03:44:25;186;29;14
"2019";"incubation2";"D15_6";"complete";2275;3;758,333333333333;"D15_6_incubation2_19";24,32;43;169;198;2019-07-06 03:39:40.5;187;29;11
"2019";"incubation2";"IC";"complete";0;0;0;"IC_incubation2_19";0;208;165;194;2019-06-28 23:48:31;179;29;15
"2019";"incubation2";"K17_13";"complete";0;0;0;"K17_13_incubation2_19";0;208;170;199;2019-07-04 00:21:59.5;185;29;14
"2019";"incubation2";"K17_15";"complete";75;2;37,5;"K17_15_incubation2_19";1,81;179;168;197;2019-07-02 01:05:52;183;29;14
"2019";"incubation2";"W39";"complete";50;2;25;"W39_incubation2_19";1,23;188;174;201;2019-07-08 15:51:34.5;189;27;12
"2019";"incubation2";"W39B";"complete";375;2;187,5;"W39B_incubation2_19";7,78;107;172;200;2019-07-06 03:48:41.5;187;28;13
"2019";"incubation2";"W40";"complete";0;0;0;"W40_incubation2_19";0;208;169;198;2019-07-03 03:58:15.5;184;29;14
"2019";"incubation2";"W41J";"complete";3450;27;127,777777777778;"W41J_incubation2_19";18,05;63;170;198;2019-07-04 12:15:48.5;185;28;13
"2019";"incubation3";"101";"complete";175;2;87,5;"101_incubation3_19";4;147;166;196;2019-07-10 00:16:38;191;30;5
"2019";"incubation3";"113_10";"complete";225;2;112,5;"113_10_incubation3_19";5,02;133;172;199;2019-07-16 03:43:48.5;197;27;2
"2019";"incubation3";"14_6K";"failed chick";2400;6;400;"14_6K_incubation3_19";20,37;55;169;198;2019-07-15 03:06:22.5;196;29;2
"2019";"incubation3";"D15_5";"complete";0;0;0;"D15_5_incubation3_19";0;208;171;200;2019-07-15 06:35:18.5;196;29;4
"2019";"incubation3";"D15_6";"complete";675;2;337,5;"D15_6_incubation3_19";12,41;81;169;198;2019-07-15 01:58:04;196;29;2
"2019";"incubation3";"IC";"complete";75;1;75;"IC_incubation3_19";2,87;164;165;194;2019-07-09 12:23:40.5;190;29;4
"2019";"incubation3";"K17_13";"complete";100;2;50;"K17_13_incubation3_19";2,38;170;170;199;2019-07-13 23:00:11.5;194;29;5
