"";"Entry";"Season";"Date";"Hr";"CaptWay";"Nest";"Age";"RingNo";"R_leg";"L_leg";"Mark";"Sx";"SxEstabl";"Wing";"THL";"Culmen";"Tarsus";"BodyMass";"SampleID";"DeviceType";"DeviceID";"DeviceAction";"Ringer";"Comments"
"1";1;2001;2001-07-18;NA;"nest?";"57";">2";"29601";NA;NA;NA;"m";"partner";122;NA;NA;20;172,5;"A2";NA;NA;NA;"NJK";"hatched, measured"
"2";2;2001;2001-07-18;NA;"nest?";"61";">2";"29602";"OM";"B";NA;"m";"partner";121;NA;NA;20,5;162;"A5";NA;NA;NA;"NJK";"hatched, measured"
"3";3;2001;2001-07-18;NA;"nest?";"37_2001";">2";"29603";NA;"BM";NA;"m";"partner";120;NA;NA;22,3;175,1;"A8";NA;NA;NA;"NJK";"hatched, measured"
"4";4;2001;2001-07-18;NA;"nest?";"22";">2";"29604";NA;NA;NA;"f";"partner";121;NA;NA;21,8;183,5;"A9";NA;NA;NA;"NJK";NA
"5";5;2001;2001-07-18;NA;"nest?";"63";">2";"29605";NA;NA;NA;"f";"partner";123;NA;NA;21,9;157,8;"A12";NA;NA;NA;"NJK";"yog"
"6";6;2001;2001-07-18;NA;"nest?";"64";">2";"29606";NA;NA;NA;"f";"partner";129;NA;NA;21;162,9;"A13";NA;NA;NA;"NJK";"whit o red o blue; hatched, measured"
"7";7;2001;2001-07-18;NA;"nest?";"2001_16";">2";"29607";NA;NA;NA;"f";"partner";119;NA;NA;22;169,7;"A14";NA;NA;NA;"NJK";NA
"8";8;2001;2001-07-18;NA;"nest?";"65";">2";"29608";"WM";"R";NA;"f";"partner";119;NA;NA;20;129,5;"A15";NA;NA;NA;"NJK";"overlap band; hatched, measured"
"9";9;2001;2001-07-18;NA;"nest?";"48";">2";"29609";NA;NA;NA;"f";"partner";121;NA;NA;24,2;150,3;"A16";NA;NA;NA;"NJK";"hatched, measured"
"10";10;2001;2001-07-18;NA;"nest?";"68";">2";"29610";NA;NA;NA;"m";"partner";116;NA;NA;21,8;147,3;"A17";NA;NA;NA;"NJK";NA
"11";11;2001;2001-07-18;NA;"nest?";"69";">2";"29611";NA;NA;NA;"m";"partner";119;NA;NA;23,2;165,7;"A20";NA;NA;NA;"NJK";NA
"12";12;2001;2001-07-18;NA;"nest?";"70";">2";"29612";NA;NA;NA;"m";"partner";120;NA;NA;21,3;171;"A21";NA;NA;NA;"NJK";NA
