"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration"
"2019";"incubation1";"101";"complete";18850;15;1256,66666666667
"2019";"incubation1";"113_10";"complete";2225;5;445
"2019";"incubation1";"14_6K";"failed chick";525;9;58,3333333333333
"2019";"incubation1";"D15_5";"complete";3900;27;144,444444444444
"2019";"incubation1";"D15_6";"complete";275;2;137,5
"2019";"incubation1";"IC";"complete";275;4;68,75
"2019";"incubation1";"K16_4";"failed egg";56125;19;2953,94736842105
"2019";"incubation1";"K17_13";"complete";75;2;37,5
"2019";"incubation1";"K17_15";"complete";1025;10;102,5
"2019";"incubation1";"W39B";"complete";1600;13;123,076923076923
"2019";"incubation1";"W40";"complete";1600;15;106,666666666667
"2019";"incubation1";"W41J";"complete";9450;40;236,25
"2019";"incubation1";"W49";"complete";275;1;275
"2019";"incubation2";"101";"complete";200;2;100
"2019";"incubation2";"113_10";"complete";150;2;75
"2019";"incubation2";"14_18K";"failed egg";0;0;0
"2019";"incubation2";"14_6K";"failed chick";300;4;75
"2019";"incubation2";"D15_5";"complete";150;2;75
"2019";"incubation2";"D15_6";"complete";2275;3;758,333333333333
"2019";"incubation2";"IC";"complete";0;0;0
"2019";"incubation2";"K16_4";"failed egg";48825;14;3487,5
"2019";"incubation2";"K17_13";"complete";0;0;0
"2019";"incubation2";"K17_15";"complete";75;2;37,5
"2019";"incubation2";"W39";"complete";50;2;25
"2019";"incubation2";"W39B";"complete";375;2;187,5
"2019";"incubation2";"W40";"complete";0;0;0
"2019";"incubation2";"W41J";"complete";3450;27;127,777777777778
"2019";"incubation3";"101";"complete";175;2;87,5
"2019";"incubation3";"113_10";"complete";225;2;112,5
"2019";"incubation3";"14_18K";"failed egg";0;0;0
"2019";"incubation3";"14_6K";"failed chick";2400;6;400
"2019";"incubation3";"D15_5";"complete";0;0;0
"2019";"incubation3";"D15_6";"complete";675;2;337,5
"2019";"incubation3";"IC";"complete";75;1;75
"2019";"incubation3";"K16_4";"failed egg";13100;16;818,75
"2019";"incubation3";"K17_13";"complete";100;2;50
"2019";"incubation3";"K17_15";"complete";500;5;100
"2019";"incubation3";"W39B";"complete";525;5;105
"2019";"incubation3";"W40";"complete";750;6;125
"2019";"incubation3";"W41J";"complete";2775;18;154,166666666667
"2019";"incubation3";"W49";"complete";0;0;0
"2020";"incubation1";"101";"complete";5294;7;756,285714285714
"2020";"incubation1";"113_10";"complete";287;2;143,5
"2020";"incubation1";"113_1A";"complete";0;0;0
"2020";"incubation1";"113_41";"complete";2393;12;199,416666666667
"2020";"incubation1";"11_58";"complete";216;5;43,2
"2020";"incubation1";"12_16";"complete";3118;12;259,833333333333
"2020";"incubation1";"14_24K";"complete";201;1;201
"2020";"incubation1";"14_2M";"failed egg";0;0;0
"2020";"incubation1";"14_6K";"failed chick";1644;14;117,428571428571
"2020";"incubation1";"A20_1";"failed egg";33796;20;1689,8
"2020";"incubation1";"D15_13";"complete";2579;5;515,8
"2020";"incubation1";"D15_6";"failed egg";451;3;150,333333333333
"2020";"incubation1";"D16_10";"complete";4283;2;2141,5
"2020";"incubation1";"D17_16";"complete";1901;10;190,1
"2020";"incubation1";"D17_8";"failed chick";689;7;98,4285714285714
"2020";"incubation1";"K17_11";"complete";10;2;5
"2020";"incubation1";"K17_13";"complete";257;6;42,8333333333333
"2020";"incubation1";"K19_15";"complete";0;0;0
"2020";"incubation1";"K19_22";"complete";60;2;30
"2020";"incubation1";"K19_29";"complete";5389;5;1077,8
"2020";"incubation1";"K19_30";"complete";0;0;0
"2020";"incubation1";"K8";"complete";850;6;141,666666666667
"2020";"incubation1";"W28N";"complete";64;2;32
"2020";"incubation1";"W39";"complete";1287;9;143
"2020";"incubation1";"W39B";"complete";6474;25;258,96
"2020";"incubation1";"W40";"complete";1942;29;66,9655172413793
"2020";"incubation1";"W41J";"complete";4229;27;156,62962962963
"2020";"incubation1";"W49";"complete";0;0;0
"2020";"incubation1";"W6";"complete";1181;22;53,6818181818182
"2020";"incubation2";"101";"complete";539;4;134,75
"2020";"incubation2";"113_10";"complete";0;0;0
"2020";"incubation2";"113_1A";"complete";966;2;483
"2020";"incubation2";"113_41";"complete";36140;5;7228
"2020";"incubation2";"11_58";"complete";40;2;20
"2020";"incubation2";"12_16";"complete";312;2;156
"2020";"incubation2";"14_24K";"complete";0;0;0
"2020";"incubation2";"14_2M";"failed egg";172487;4;43121,75
"2020";"incubation2";"14_6K";"failed chick";616;5;123,2
"2020";"incubation2";"A20_1";"failed egg";67682;4;16920,5
"2020";"incubation2";"D15_13";"complete";2437;2;1218,5
"2020";"incubation2";"D15_6";"failed egg";15;1;15
"2020";"incubation2";"D16_10";"complete";12;2;6
"2020";"incubation2";"D17_16";"complete";179;3;59,6666666666667
"2020";"incubation2";"D17_8";"failed chick";100;2;50
"2020";"incubation2";"K17_11";"complete";16;2;8
"2020";"incubation2";"K17_13";"complete";151;2;75,5
"2020";"incubation2";"K19_15";"complete";23;1;23
"2020";"incubation2";"K19_22";"complete";0;0;0
"2020";"incubation2";"K19_29";"complete";1740;2;870
"2020";"incubation2";"K19_30";"complete";0;0;0
"2020";"incubation2";"K8";"complete";35;2;17,5
"2020";"incubation2";"W28N";"complete";0;0;0
"2020";"incubation2";"W39";"complete";25;1;25
"2020";"incubation2";"W39B";"complete";631;9;70,1111111111111
"2020";"incubation2";"W40";"complete";1541;11;140,090909090909
"2020";"incubation2";"W41J";"complete";8156;11;741,454545454545
"2020";"incubation2";"W49";"complete";193;2;96,5
"2020";"incubation2";"W6";"complete";630;5;126
"2020";"incubation3";"113_10";"complete";132;1;132
"2020";"incubation3";"113_41";"complete";4493;10;449,3
"2020";"incubation3";"11_58";"complete";11717;28;418,464285714286
"2020";"incubation3";"14_6K";"failed chick";1064;8;133
"2020";"incubation3";"D15_6";"failed egg";132985;17;7822,64705882353
"2020";"incubation3";"D17_8";"failed chick";1729;4;432,25
"2020";"incubation3";"K17_13";"complete";48;1;48
"2020";"incubation3";"K19_29";"complete";1466;3;488,666666666667
"2020";"incubation3";"K8";"complete";872;4;218
"2020";"incubation3";"W39";"complete";843;4;210,75
"2020";"incubation3";"W39B";"complete";2612;9;290,222222222222
"2020";"incubation3";"W40";"complete";1641;14;117,214285714286
"2020";"incubation3";"W41J";"complete";3695;9;410,555555555556
"2020";"incubation3";"W49";"complete";129;1;129
"2020";"incubation3";"W6";"complete";846;15;56,4
"2021";"incubation1";"101";"complete";122893;17;7229
"2021";"incubation1";"113_10";"failed egg";0;0;0
"2021";"incubation1";"113_41";"complete";41519;7;5931,28571428571
"2021";"incubation1";"11_58";"complete";14409;9;1601
"2021";"incubation1";"12_16";"failed egg";5177;9;575,222222222222
"2021";"incubation1";"14_18K";"failed egg";0;0;0
"2021";"incubation1";"14_6K";"failed egg";2597;18;144,277777777778
"2021";"incubation1";"A20_3";"failed egg";18978;1;18978
"2021";"incubation1";"D15_11";"failed egg";0;0;0
"2021";"incubation1";"D15_5";"complete";72;1;72
"2021";"incubation1";"D15_6";"complete";201;1;201
"2021";"incubation1";"D16_1";"complete";2921;9;324,555555555556
"2021";"incubation1";"D16_10";"complete";3914;9;434,888888888889
"2021";"incubation1";"D17_16";"complete";38159;7;5451,28571428571
"2021";"incubation1";"D17_8";"failed egg";863;8;107,875
"2021";"incubation1";"K16_4";"complete";3552;8;444
"2021";"incubation1";"K17_13";"complete";0;0;0
"2021";"incubation1";"K19_22";"complete";0;0;0
"2021";"incubation1";"K8";"complete";188;2;94
"2021";"incubation1";"W39B";"failed egg";61486;19;3236,10526315789
"2021";"incubation1";"W40";"complete";2821;13;217
"2021";"incubation1";"W41J";"complete";5695;13;438,076923076923
"2021";"incubation1";"W6";"complete";1149;13;88,3846153846154
"2021";"incubation2";"101";"complete";81;2;40,5
"2021";"incubation2";"113_10";"failed egg";60911;2;30455,5
"2021";"incubation2";"113_41";"complete";199;2;99,5
"2021";"incubation2";"11_58";"complete";183;5;36,6
"2021";"incubation2";"12_16";"failed egg";45045;4;11261,25
"2021";"incubation2";"14_6K";"failed egg";1998;12;166,5
"2021";"incubation2";"D15_11";"failed egg";0;0;0
"2021";"incubation2";"D15_5";"complete";329;4;82,25
"2021";"incubation2";"D15_6";"complete";32804;1;32804
"2021";"incubation2";"D16_1";"complete";146;1;146
"2021";"incubation2";"D17_16";"complete";50;2;25
"2021";"incubation2";"D17_8";"failed egg";35604;3;11868
"2021";"incubation2";"K16_4";"complete";464;4;116
"2021";"incubation2";"K17_13";"complete";82;1;82
"2021";"incubation2";"K8";"complete";31481;1;31481
"2021";"incubation2";"W39";"complete";0;0;0
"2021";"incubation2";"W39B";"failed egg";15322;18;851,222222222222
"2021";"incubation2";"W40";"complete";1192;14;85,1428571428571
"2021";"incubation2";"W41J";"complete";410;2;205
"2021";"incubation2";"W6";"complete";310;7;44,2857142857143
"2021";"incubation3";"101";"complete";542;4;135,5
"2021";"incubation3";"113_10";"failed egg";159;1;159
"2021";"incubation3";"113_41";"complete";563;4;140,75
"2021";"incubation3";"11_58";"complete";0;0;0
"2021";"incubation3";"12_16";"failed egg";4932;4;1233
"2021";"incubation3";"14_6K";"failed egg";0;0;0
"2021";"incubation3";"D15_5";"complete";161;2;80,5
"2021";"incubation3";"D15_6";"complete";481;2;240,5
"2021";"incubation3";"D16_1";"complete";0;0;0
"2021";"incubation3";"D17_16";"complete";121;1;121
"2021";"incubation3";"D17_8";"failed egg";0;0;0
"2021";"incubation3";"K16_4";"complete";200;2;100
"2021";"incubation3";"K17_13";"complete";139;2;69,5
"2021";"incubation3";"K8";"complete";22693;5;4538,6
"2021";"incubation3";"W39";"complete";20765;2;10382,5
"2021";"incubation3";"W39B";"failed egg";11050;15;736,666666666667
"2021";"incubation3";"W40";"complete";1213;14;86,6428571428571
"2021";"incubation3";"W41J";"complete";2165;2;1082,5
"2021";"incubation3";"W6";"complete";537;7;76,7142857142857
"2023";"incubation1";"101";"complete";120;3;40
"2023";"incubation1";"12_16";"complete";91153;3;30384,3333333333
"2023";"incubation1";"14_10M";"complete";25;1;25
"2023";"incubation1";"A20_4";"complete";10188;9;1132
"2023";"incubation1";"D15_6";"complete";2824;7;403,428571428571
"2023";"incubation1";"K17_13";"complete";10008;8;1251
"2023";"incubation1";"K20_15";"complete";5900;5;1180
"2023";"incubation1";"K8";"complete";801;4;200,25
"2023";"incubation1";"W40";"complete";1785;16;111,5625
"2023";"incubation1";"W41J";"complete";266;2;133
"2023";"incubation1";"W6";"complete";5703;3;1901
"2023";"incubation2";"101";"complete";2805;3;935
"2023";"incubation2";"11_58";"complete";45984;4;11496
"2023";"incubation2";"12_16";"complete";0;0;0
"2023";"incubation2";"14_10M";"complete";0;0;0
"2023";"incubation2";"K19_19";"complete";598;3;199,333333333333
"2023";"incubation2";"K20_15";"complete";0;0;0
"2023";"incubation2";"K20_17";"complete";1638;6;273
"2023";"incubation2";"K20_8";"complete";138;2;69
"2023";"incubation2";"W40";"complete";711;2;355,5
"2023";"incubation2";"W41J";"complete";0;0;0
"2023";"incubation3";"101";"complete";1972;2;986
"2023";"incubation3";"113_10";"complete";106;2;53
"2023";"incubation3";"11_58";"complete";265;2;132,5
"2023";"incubation3";"12_16";"complete";67739;4;16934,75
"2023";"incubation3";"14_10M";"complete";0;0;0
"2023";"incubation3";"A20_4";"complete";32129;3;10709,6666666667
"2023";"incubation3";"K19_19";"complete";9300;8;1162,5
"2023";"incubation3";"K20_15";"complete";60;2;30
"2023";"incubation3";"K20_17";"complete";1389;10;138,9
"2023";"incubation3";"K20_8";"complete";52971;3;17657
"2023";"incubation3";"K21_37";"complete";0;0;0
"2023";"incubation3";"W40";"complete";421;6;70,1666666666667
"2023";"incubation3";"W41J";"complete";4000;2;2000
"2025";"incubation1";"101";"complete";2991;6;498,5
"2025";"incubation1";"113_10";"complete";0;0;0
"2025";"incubation1";"113_1A";"complete";1435;4;358,75
"2025";"incubation1";"12_16";"complete";6171;7;881,571428571429
"2025";"incubation1";"14_10M";"complete";162;3;54
"2025";"incubation1";"83N";"complete";42;1;42
"2025";"incubation1";"A20_1";"complete";55577;29;1916,44827586207
"2025";"incubation1";"A20_3";"complete";0;0;0
"2025";"incubation1";"A20_4";"complete";0;0;0
"2025";"incubation1";"D17_16";"complete";0;0;0
"2025";"incubation1";"D17_8";"complete";2034;2;1017
"2025";"incubation1";"D21_1";"complete";189;4;47,25
"2025";"incubation1";"J24_1";"complete";1491;11;135,545454545455
"2025";"incubation1";"K16_4";"complete";1486;11;135,090909090909
"2025";"incubation1";"K17_13";"complete";209;1;209
"2025";"incubation1";"K19_15_22cmplx";"complete";14405;24;600,208333333333
"2025";"incubation1";"K20_10_22cmplx";"complete";0;0;0
"2025";"incubation1";"K20_15";"complete";16;2;8
"2025";"incubation1";"K21_36";"complete";100;2;50
"2025";"incubation1";"K22_52";"complete";0;0;0
"2025";"incubation1";"K8";"complete";358;4;89,5
"2025";"incubation1";"W28N";"complete";0;0;0
"2025";"incubation1";"W38A";"complete";61;2;30,5
"2025";"incubation1";"Y23_1";"complete";1369;7;195,571428571429
"2025";"incubation2";"101";"complete";30;2;15
"2025";"incubation2";"113_10";"complete";32;2;16
"2025";"incubation2";"113_1A";"complete";47;1;47
"2025";"incubation2";"113_41";"complete";338;2;169
"2025";"incubation2";"11_58";"complete";38;1;38
"2025";"incubation2";"14_10M";"complete";0;0;0
"2025";"incubation2";"83N";"complete";0;0;0
"2025";"incubation2";"A20_1";"complete";2608;14;186,285714285714
"2025";"incubation2";"A20_3";"complete";0;0;0
"2025";"incubation2";"A20_4";"complete";0;0;0
"2025";"incubation2";"D15_11";"complete";93;2;46,5
"2025";"incubation2";"D15_6";"complete";94;1;94
"2025";"incubation2";"D17_16";"complete";0;0;0
"2025";"incubation2";"D17_8";"complete";151;1;151
"2025";"incubation2";"D21_1";"complete";22;1;22
"2025";"incubation2";"D22_17";"complete";0;0;0
"2025";"incubation2";"J24_1";"complete";191;4;47,75
