"season";"session";"nest";"group";"total_both_nest_seconds";"number_of_both_nest_events";"average_both_nest_duration"
"2019";"incubation1";"101";"complete";2125;19;111,842105263158
"2019";"incubation1";"113_10";"complete";2750;10;275
"2019";"incubation1";"14_6K";"failed chick";18300;6;3050
"2019";"incubation1";"D15_5";"complete";2175;25;87
"2019";"incubation1";"D15_6";"complete";1250;10;125
"2019";"incubation1";"IC";"complete";21325;14;1523,21428571429
"2019";"incubation1";"K16_4";"failed egg";225;2;112,5
"2019";"incubation1";"K17_13";"complete";6775;18;376,388888888889
"2019";"incubation1";"K17_15";"complete";16750;15;1116,66666666667
"2019";"incubation1";"W39B";"complete";3250;26;125
"2019";"incubation1";"W40";"complete";10725;16;670,3125
"2019";"incubation1";"W41J";"complete";12950;23;563,04347826087
"2019";"incubation1";"W49";"complete";250;2;125
"2019";"incubation2";"101";"complete";1975;26;75,9615384615385
"2019";"incubation2";"113_10";"complete";100;2;50
"2019";"incubation2";"14_6K";"failed chick";875;3;291,666666666667
"2019";"incubation2";"D15_5";"complete";2375;5;475
"2019";"incubation2";"D15_6";"complete";0;0;0
"2019";"incubation2";"IC";"complete";725;2;362,5
"2019";"incubation2";"K16_4";"failed egg";0;0;0
"2019";"incubation2";"K17_13";"complete";1125;3;375
"2019";"incubation2";"K17_15";"complete";1700;2;850
"2019";"incubation2";"W39";"complete";375;4;93,75
"2019";"incubation2";"W39B";"complete";275;2;137,5
"2019";"incubation2";"W40";"complete";850;5;170
"2019";"incubation2";"W41J";"complete";6175;47;131,382978723404
"2019";"incubation3";"101";"complete";500;2;250
"2019";"incubation3";"113_10";"complete";150;2;75
"2019";"incubation3";"14_18K";"failed egg";0;0;0
"2019";"incubation3";"14_6K";"failed chick";0;0;0
"2019";"incubation3";"D15_5";"complete";250;2;125
"2019";"incubation3";"D15_6";"complete";275;2;137,5
"2019";"incubation3";"IC";"complete";1550;2;775
"2019";"incubation3";"K16_4";"failed egg";0;0;0
"2019";"incubation3";"K17_13";"complete";500;2;250
"2019";"incubation3";"K17_15";"complete";2725;7;389,285714285714
"2019";"incubation3";"W39B";"complete";50;2;25
"2019";"incubation3";"W40";"complete";4375;8;546,875
"2019";"incubation3";"W41J";"complete";400;2;200
"2019";"incubation3";"W49";"complete";2450;2;1225
"2020";"incubation1";"101";"complete";2608;39;66,8717948717949
"2020";"incubation1";"113_10";"complete";7940;12;661,666666666667
"2020";"incubation1";"113_1A";"complete";72;2;36
